1.099386948869822390e+03,7.324837569066210108e+02,9.509134034057028657e+02,1.131298123850565844e+03,1.193833678115144266e+03,7.842486151061712008e+02,6.153792911485944614e+02,1.010473130973298566e+03,1.368003874021492038e+03,6.049141637601942421e+02
2.967136882640725162e+02,8.799424971867774730e+02,1.246247375505045738e+03,1.206170446278082409e+03,5.658090837315696717e+02,7.467409283837337171e+02,1.006764059110441053e+03,8.762511373864872439e+02,1.355354989887457805e+03,6.612831791040007374e+02
1.042609799581053949e+03,8.641333239171420928e+02,1.031426902710553577e+03,1.218997394764614455e+03,1.236119447389628021e+03,6.462088471091383326e+02,9.517733187392688023e+02,1.047585969783505561e+03,1.214485459945142338e+03,1.025106273268361974e+03
1.407922516942900529e+03,9.477293816819269523e+02,9.911363617705226261e+02,1.331976434317057510e+03,1.125577165685876480e+03,1.031951704201415396e+03,1.300401528821253351e+03,4.647568847105595182e+02,1.155291715779393144e+03,9.067044605719528363e+02
1.046072376070236942e+03,7.548005202676204135e+02,9.172052502662216966e+02,1.221721331635375009e+03,7.636717169236349037e+02,9.034395928909208351e+02,4.215961122923023368e+02,7.371894386713590848e+02,9.415544652280418632e+02,7.394266688693264769e+02
1.020728402506961629e+03,5.719579513742394283e+02,1.229497715212700768e+03,1.124304938403089409e+03,9.825146222911126870e+02,1.380894409736393300e+03,8.791377317686982451e+02,7.899220548575855219e+02,1.173506029314846046e+03,1.276306613212656885e+03
8.844921583048910634e+02,5.523468319029771010e+02,9.508337916958909091e+02,1.411898189928600914e+03,7.507777625368091776e+02,8.617144424178516147e+02,9.977521935408120726e+02,8.388331209319204618e+02,1.637469283985543598e+03,7.566318299893989661e+02
1.100299117636353230e+03,6.254236071152442946e+02,6.630890912029572064e+02,1.737668836360786372e+03,6.248310352381922712e+02,6.740027614557019433e+02,7.887716995030577891e+02,1.070118409315020926e+03,1.489899952217047712e+03,9.169099191352288472e+02
1.097546850704502276e+03,9.250563225475566469e+02,9.946749607633258847e+02,1.068096423395051033e+03,7.364197761443838317e+02,8.826100246252549368e+02,8.195618582760938580e+02,9.241707050411154114e+02,1.046981426595404400e+03,5.174837047593085799e+02
9.347185146932285988e+02,9.830859454188171185e+02,9.076736289468752830e+02,1.449502384433455518e+03,1.235812177994475633e+03,7.269945296569782158e+02,8.592289094503729530e+02,1.155137650863603312e+03,1.327405782091654601e+03,4.732835431828638662e+02
6.422227208130992722e+02,9.607474801725115867e+02,1.320097646390893260e+03,1.649605292969758466e+03,7.398043159790145182e+02,6.696128021003831918e+02,1.016645652455556160e+03,6.824298176137854171e+02,1.680562384510134279e+03,1.149844022431735766e+03
7.252173595166616451e+02,8.300777916114484469e+02,1.467629242564514016e+03,1.154309524647032504e+03,1.460474442509782875e+03,9.199277785540887180e+02,6.092128985569656834e+02,1.006063490095885754e+03,1.384485514875620311e+03,1.080231316190283678e+03
9.992739060831401048e+02,6.835149073288173440e+02,1.347889856077978493e+03,1.142793943466774863e+03,9.275825816367555490e+02,7.212198424736498055e+02,9.220045447714201146e+02,1.059209262697369468e+03,1.027007403900200188e+03,6.424283076159742905e+02
