Well_ID,X,Y,Depth,Porosity,Perm,AI,Density,Comp_vel,E,Vs,G,layer,lith_id,Log_perm,mindist,avg_inv_dist,avg_sq_inv_dist,avg_sqrt_inv_dist,log_mindist,Top_depth,interval,distance to woc,distance to fault,fault indicator,Avg_perm,thickness,bottom to woc,sand prp.,sandshaly prp.,k/log_mindist,area_poly,woc rise 0,woc rise 1,woc rise 2,woc rise 3,bottom to woc 1,bottom to woc 2,bottom to woc 3,Cumoil1,Cumoil2,Cumoil3,Cumwater1,Cumwater2,Cumwater3,total1,total2,total3,prod_o1,prod_o2,prod_o3,prod_w1,prod_w2,prod_w3,oil12,oil23,water12,water23,wcut1,wcut2,wcut3,wcutincrease1,wcutincrease2,dp_1,dp_2,dp_3
Well_no_1,7325.0,7175.0,3057.550000000001,0.13606284554963746,163.83850839080824,7218588.487037038,2.1497670373519524,3375.797049656223,25.810920535513617,1658.7668203113928,6.193391370100324,9.5,2.6,4.98407287297677,206.1552812808831,0.00966803945341996,3.164358097979253e-05,0.18917102551076415,5.328629677456253,3052.830823511949,0.47345882440251896,9.849999999999909,1944.5436482630055,0.0,163.83850839080827,9.5,5.099999999999909,0.75,0.8499999999999999,30.74683704967473,308.0239929562062,0,1.3125514304528547,1.9979382102005356,2.4589523965352584,3.7874485695470543,3.1020617897993734,2.6410476034646506,450.98,684.2,847.33,494.89,1236.4,2108.7,945.87,1920.6000000000001,2956.0299999999997,450.98,233.22000000000003,163.13,494.89,741.5100000000001,872.2999999999997,-0.48285955031265243,-0.30053168681931236,0.4983329628806404,0.17638332591603567,0.523211434975208,0.7607337416515343,0.8424519281844257,0.45397002205729925,0.10742022084557896,100.52106777576932,100.52106777576932,100.52106777576932
Well_no_2,4225.0,3525.0,3052.5400000000004,0.12908068374319007,130.48944094069714,7313974.999288397,2.1312321079733327,3539.327750336039,25.635220470579934,1673.706307402555,6.42548675638083,9.5,2.2,4.683513390456811,180.2775637731994,0.008752858968747997,3.4212519284226456e-05,0.172486410564403,5.194497684158916,3047.2324361413844,0.5028781929308025,14.860000000000127,-2828.4271247461893,1.0,130.48944094069708,9.5,10.110000000000127,0.4000000000000001,0.8000000000000002,25.120704421264126,579.7399043937698,0,1.6813271899753213,2.537806544191471,3.089466324553846,8.428672810024807,7.572193455808657,7.0205336754462815,594.43,946.61,1201.2,226.97,646.5,1187.7,821.4,1593.1100000000001,2388.9,594.43,352.18000000000006,254.59000000000003,226.97,419.53,541.2,-0.407533267163501,-0.27710261797944236,0.8483940608891042,0.2900150168045195,0.2763209155101047,0.5436368584053595,0.6800789152917228,0.9674111798658955,0.250980143779409,116.87993118274625,116.87993118274625,116.87993118274625
Well_no_3,7725.0,8275.0,3060.669999999999,0.12124152872199243,72.51281358950246,7366259.584292913,1.900740988404333,3865.620499814203,28.351062090955413,1675.781360045045,5.666130852190723,9.5,1.95,4.091273967138514,430.1162633521315,0.005734446778118477,9.325892220821228e-06,0.14920057291869548,6.064055552030229,3056.250379151009,0.4584810424496027,6.730000000000018,3005.203820042828,0.0,72.51281358950246,9.5,1.9800000000000182,0.45,0.75,11.95780826335362,508.76678058420123,0,0.8065942372488717,1.2595113653858079,1.5827665967807254,1.1734057627511465,0.7204886346142103,0.3972334032192928,381.75,611.38,781.4,393.17,948.18,1603.1,774.9200000000001,1559.56,2384.5,381.75,229.63,170.01999999999998,393.17,555.01,654.92,-0.3984806810740013,-0.25959151678787623,0.41162855762138506,0.18001477450856737,0.5073685025551025,0.707343495106036,0.793900162436056,0.39414151951463594,0.12236864822944969,75.80732913450241,75.80732913450241,75.80732913450241
Well_no_4,4425.0,6475.0,3051.61,0.14110350074393474,152.86974839949102,7275353.036059524,1.9774358335266136,3702.5602266171227,27.348244040949943,1656.2456233245443,5.406377735803867,9.5,2.55,4.8524955677790125,585.234995535981,0.005218834975619522,7.089276415301213e-06,0.14375060753663946,6.372013468342207,3047.302870845618,0.45285645771912186,15.789999999999964,-601.0407640085652,1.0,152.86974839949104,9.5,11.039999999999964,0.6500000000000001,0.9,23.990807483221268,615.7695759840161,0,1.0279949798449806,1.5779781473191767,1.9523059592968672,10.012005020154984,9.462021852680786,9.087694040703097,795.82,1262.8,1573.2,253.25,782.38,1502.9,1049.0700000000002,2045.1799999999998,3076.1000000000004,795.82,466.9799999999999,310.4000000000001,253.25,529.13,720.5200000000001,-0.41320901711442304,-0.33530343911944804,1.0893583415597237,0.36170695292272237,0.2414042914200196,0.5311963538163457,0.6989097117138091,1.2004428781761651,0.31572761501945135,147.4058700456861,147.4058700456861,147.4058700456861
Well_no_5,2125.0,1225.0,3060.449999999999,0.12950617081384258,81.17099130336717,7341486.001119675,1.934641699536457,3770.3555233468987,28.129155616622135,1706.423606757907,5.260269284313292,9.5,2.05,4.096069385910947,430.1162633521315,0.005303050535500949,8.419007242536654e-06,0.14249680912998858,6.064055552030229,3056.4969814301217,0.4351509284939084,6.950000000000273,-5939.696961966999,1.0,81.17099130336716,9.5,2.200000000000273,0.25,0.9,13.385594938389264,808.1067018361557,0,0.7492615773457405,1.1830864864927324,1.4973653516141991,1.4507384226545323,1.0169135135075404,0.7026346483860737,259.9,426.42,548.68,523.66,1187.0,1932.5,783.56,1613.42,2481.18,259.9,166.52000000000004,122.25999999999993,523.66,663.34,745.5,-0.3592920353982299,-0.26579389863079567,0.26673795974487274,0.12385805167787253,0.6683087447036602,0.7993396476514111,0.8591085092652349,0.19606342725000894,0.0747727975078358,55.077409848045086,55.077409848045086,55.077409848045086
Well_no_6,2675.0,4525.0,3053.4599999999996,0.12211979156412525,98.09502598861008,7389545.033039248,1.9287722308087134,3838.087206007028,28.15240052669367,1686.032908712324,5.3481883917896145,9.5,1.8,4.401527948390451,353.55339059327366,0.006141462317225551,1.1666131422228977e-05,0.1528527160268425,5.868034508142217,3049.8895750269958,0.41602124865016776,13.940000000000055,-3217.335854398792,1.0,98.0950259886101,9.5,9.190000000000055,0.29999999999999993,0.6999999999999997,16.716845453532663,643.4764787906482,0,1.0107530720830997,1.56465969004621,1.9461362697375126,8.179246927916955,7.625340309953844,7.243863730262542,365.12,548.91,668.02,156.75,466.3,860.95,521.87,1015.21,1528.97,365.12,183.78999999999996,119.11000000000001,156.75,309.55,394.65000000000003,-0.4966312445223489,-0.35192339082648655,0.9748006379585328,0.2749151994831207,0.3003621591584111,0.6274577370576074,0.7681602304578014,1.0890039504832767,0.22424218411904911,107.53012656208182,107.53012656208182,107.53012656208182
Well_no_7,6725.0,8025.0,3058.400000000001,0.13527350401848723,144.96215040634002,7292950.010474242,2.1826192130371185,3433.3440137305524,25.00221337829933,1662.6246279678205,6.169197275068995,9.5,2.4,4.697106631947461,583.09518948453,0.005387196361235928,7.724984470940042e-06,0.14558074333609822,6.36835044829617,3053.467034254599,0.48414828727011355,9.0,2121.3203435596433,0.0,144.96215040633996,9.5,4.25,0.55,0.8499999999999999,22.762904080620146,621.5216887619198,0,0.9230606602325412,1.426841627624315,1.778277492695667,3.326939339767459,2.8231583723756852,2.471722507304333,423.7,654.55,823.89,561.25,1340.6,2239.7,984.95,1995.1499999999999,3063.5899999999997,423.7,230.84999999999997,169.34000000000003,561.25,779.3499999999999,899.0999999999999,-0.45515695067264583,-0.2664500758068007,0.38859688195991077,0.15365368576377753,0.5698258794862683,0.7714808948723025,0.8415072442065066,0.35388883279193667,0.0907687407421735,100.59159320359686,100.59159320359686,100.59159320359686
Well_no_8,3975.0,8675.0,3058.080000000001,0.12827534108873814,104.03756333388358,7347948.274666727,2.1966438286820833,3576.5354545924965,25.425090024769975,1669.9654000539035,6.097767234677095,9.5,2.35,4.37887884757301,430.1162633521315,0.0058294871057334155,9.53032056881358e-06,0.150655724247848,6.064055552030229,3050.379681582767,0.6225159208616106,9.320000000000164,636.3961030678928,0.0,104.03756333388358,9.5,4.570000000000164,0.55,0.8000000000000002,17.15643309023647,557.4780725586116,0,0.4032796320149057,0.6559331396287811,0.8524581690649131,4.166720367985258,3.9140668603713826,3.7175418309352506,361.3,551.42,683.92,535.32,1285.6,2149.0,896.6200000000001,1837.02,2832.92,361.3,190.11999999999995,132.5,535.32,750.2799999999999,863.4000000000001,-0.47378909493495724,-0.30307174416158195,0.4015542105656426,0.15077037905848517,0.5970422252459235,0.7978307103360273,0.866954513505372,0.3363053341954136,0.08663968718405368,96.8551879179005,96.8551879179005,96.8551879179005
Well_no_9,5625.0,5475.0,3050.800000000001,0.13112067364309518,92.27122174833097,7291380.880364591,2.1123495355733612,3532.53662212246,25.46348282734617,1701.5992427749454,6.262153170728022,9.5,2.4,4.4572583486697575,380.78865529319523,0.006551604354656957,1.2317366203775938e-05,0.15902383085009755,5.942244510701356,3046.0029625430343,0.4773518728482259,16.59999999999991,-459.6194077712559,1.0,92.27122174833102,9.5,11.849999999999909,0.5999999999999999,0.8000000000000002,15.528008243713339,510.795935496673,0,1.744836104092301,2.624326617792444,3.187267617143527,10.105163895907609,9.225673382207464,8.662732382856383,688.58,1063.0,1314.4,243.26,761.42,1459.0,931.84,1824.42,2773.4,688.58,374.41999999999996,251.4000000000001,243.26,518.16,697.58,-0.45624328327863145,-0.32856150846642773,1.130066595412316,0.3462637023313264,0.2610533997252747,0.5805193932196554,0.735083984910114,1.2237572612751944,0.2662522449650098,135.59610067218955,135.59610067218955,135.59610067218955
Well_no_10,3725.0,1575.0,3057.82,0.11358490721811801,87.69159566374279,7486613.87783283,1.8221025375063777,4038.011072592189,30.8730695345027,1658.054564277547,5.574956149514361,9.5,1.75,4.403703905811213,559.0169943749477,0.005255747616394413,7.297144267160634e-06,0.1439888763778976,6.3261798740792985,3053.0818065413036,0.4744096729348257,9.579999999999927,-4560.838738653231,1.0,87.69159566374282,9.5,4.829999999999927,0.14999999999999997,0.8000000000000002,13.861698119436621,2000.0,0,1.0541369617227836,1.6271398056826543,2.022015186861699,3.7758630382771434,3.2028601943172728,2.807984813138228,229.35,388.35,518.27,222.51,528.21,880.8,451.86,916.5600000000001,1399.07,229.35,159.00000000000003,129.91999999999996,222.51,305.70000000000005,352.5899999999999,-0.30673642903858717,-0.1828930817610067,0.3738708372657411,0.15338567222767374,0.4924312840260257,0.6578437701743061,0.7307413317858698,0.3359097837893217,0.11081287824957031,61.808589212877955,61.808589212877955,61.808589212877955
