Well_ID,X,Y,Depth,Porosity,Perm,AI,Density,Comp_vel,E,Vs,G,layer,lith_id,Log_perm,mindist,avg_inv_dist,avg_sq_inv_dist,avg_sqrt_inv_dist,log_mindist,Top_depth,interval,distance to woc,distance to fault,fault indicator,Avg_perm,thickness,bottom to woc,sand prp.,sandshaly prp.,k/log_mindist,area_poly,woc rise 0,woc rise 1,woc rise 2,woc rise 3,bottom to woc 1,bottom to woc 2,bottom to woc 3
Well_no_74,7925.0,5525.0,3055.260000000001,0.12825562438430765,261.7333818527849,7218588.487037038,2.1497670373519524,3375.797049656223,25.810920535513617,1658.7668203113928,6.193391370100324,9.5,2.6,5.098974894958564,721.1102550927976,0.004132794959503639,4.487782805429865e-06,0.12777426703682784,6.580792045278803,3051.6887368370667,0.41606315814667594,12.139999999999873,1202.0815280171305,0.0,261.73338185278493,9.5,7.389999999999873,0.75,0.8499999999999999,39.77232224509476,939.1166416332721,0,1.5508405620618522,2.3427392311733737,2.8658610094764763,5.8391594379380205,5.047260768826499,4.524138990523396
Well_no_75,8125.0,4425.0,3054.589999999999,0.1252450569775986,113.9540813572099,7313974.999288397,2.1312321079733327,3539.327750336039,25.635220470579934,1673.706307402555,6.42548675638083,9.5,2.2,4.448299412715769,447.21359549995776,0.005733466478214586,9.114315418646264e-06,0.14959912617184917,6.103036322765089,3051.757622156249,0.3791188921875346,12.809999999999945,565.6854249492378,0.0,113.95408135720986,9.5,8.059999999999945,0.4000000000000001,0.8000000000000002,18.671702957452005,2000.0,0,1.4632206444124467,2.2121970439425445,2.709237036480592,6.596779355587499,5.847802956057401,5.350762963519353
Well_no_76,7725.0,4625.0,3054.010000000001,0.13540742620718316,139.36691749948133,7366259.584292913,1.900740988404333,3865.620499814203,28.351062090955413,1675.781360045045,5.666130852190723,9.5,1.95,4.748992748175555,360.5551275463988,0.007502422798867478,1.5844728405704015e-05,0.17043150619649786,5.887644864718862,3050.4988035646443,0.41305982176784256,13.389999999999873,424.2640687119284,1.0,139.3669174994813,9.5,8.639999999999873,0.45,0.75,23.67108083142448,333.2202690972239,0,1.600338131479532,2.4059900198815285,2.9323704981483805,7.039661868520341,6.234009980118344,5.707629501851493
Well_no_77,6825.0,4475.0,3052.510000000001,0.1359725469985202,157.33400850369557,7275353.036059524,1.9774358335266136,3702.5602266171227,27.348244040949943,1656.2456233245443,5.406377735803867,9.5,2.55,4.888129642126183,353.55339059327366,0.006558045183430979,1.263980781705776e-05,0.1589514041613493,5.868034508142217,3047.695963039814,0.47820184800925747,14.889999999999873,-318.1980515339464,1.0,157.3340085036956,9.5,10.139999999999873,0.6500000000000001,0.9,26.81204554700319,838.3471300712824,0,1.7480210447536357,2.6263854121409413,3.1915240477517286,8.391978955246238,7.513614587858932,6.948475952248144
Well_no_78,7425.0,3975.0,3053.760000000001,0.1341436262092404,88.81506692968135,7341486.001119675,1.934641699536457,3770.3555233468987,28.129155616622135,1706.423606757907,5.260269284313292,9.5,2.05,4.306062617992351,570.0877125495688,0.0056330289657343935,8.111530172712915e-06,0.1497043154999575,6.345790230655937,3049.595471677576,0.4457264161211697,13.639999999999873,-247.48737341529164,1.0,88.81506692968134,9.5,8.889999999999873,0.25,0.9,13.995903378687782,663.1930273228884,0,1.5614924422456775,2.3527357525652444,2.8712574949926237,7.328507557754195,6.537264247434628,6.018742505007249
Well_no_79,6875.0,4125.0,3052.879999999999,0.14479193173205335,100.25876749451855,7389545.033039248,1.9287722308087134,3838.087206007028,28.15240052669367,1686.032908712324,5.3481883917896145,9.5,1.8,4.310454204934959,353.55339059327366,0.007253681174696767,1.4746716697936207e-05,0.16789161627476681,5.868034508142217,3047.9276363788526,0.4851181810573507,14.519999999999982,-530.3300858899108,1.0,100.25876749451851,9.5,9.769999999999982,0.29999999999999993,0.6999999999999997,17.085579056395126,362.6421223280057,0,1.7108343286107728,2.5715319778956625,3.1272597825758,8.05916567138921,7.198468022104319,6.642740217424182
Well_no_80,7525.0,4925.0,3053.739999999999,0.12590739069722812,131.93440986289454,7292950.010474242,2.1826192130371185,3433.3440137305524,25.00221337829933,1662.6246279678205,6.169197275068995,9.5,2.4,4.648183451496505,360.5551275463988,0.006642303807270396,1.2698772198979331e-05,0.16035068651753903,5.887644864718862,3049.946101868533,0.4271949065733452,13.66000000000031,494.9747468305833,1.0,131.93440986289448,9.5,8.91000000000031,0.55,0.8499999999999999,22.408690213891585,896.8259500915706,0,1.6250228420464408,2.4453072350436535,2.9805123343535898,7.284977157953868,6.464692764956656,5.92948766564672
Well_no_81,9025.0,4825.0,3056.419999999999,0.12445925987232168,153.70556637899517,7347948.274666727,2.1966438286820833,3576.5354545924965,25.425090024769975,1669.9654000539035,6.097767234677095,9.5,2.35,4.919356395481583,984.8857801796108,0.0032077871804884342,2.6396756873563128e-06,0.11292319206898152,6.892525675239783,3054.206379641235,0.3481810179382137,10.980000000000018,1484.9242404917497,0.0,153.70556637899517,9.5,6.230000000000018,0.55,0.8000000000000002,22.300325544111658,2000.0,0,1.1925141720841625,1.833140360412682,2.2748034045338077,5.037485827915855,4.396859639587336,3.9551965954662105
Well_no_82,6025.0,4425.0,3051.489999999999,0.1227973292629331,156.36996681366492,7291380.880364591,2.1123495355733612,3532.53662212246,25.46348282734617,1701.5992427749454,6.262153170728022,9.5,2.4,4.57047278257742,782.6237921249266,0.004314739646471995,4.882270271121495e-06,0.13045143274983168,6.662652110700508,3046.0296203460375,0.5105189826981587,15.91000000000031,-919.2388155425118,1.0,156.36996681366494,9.5,11.16000000000031,0.5999999999999999,0.8000000000000002,23.469628042341867,823.370860127151,0,1.791285641880153,2.6918581334250153,3.2678260601877143,9.368714358120156,8.468141866575294,7.892173939812595
Well_no_83,6375.0,3725.0,3052.849999999999,0.12427355324833715,112.93189534960047,7486613.87783283,1.8221025375063777,4038.011072592189,30.8730695345027,1658.054564277547,5.574956149514361,9.5,1.75,4.448924460468021,640.3124237432852,0.004909296759060157,6.237236092664501e-06,0.13951574057180655,6.461956219340249,3047.125306231703,0.5237346884149019,14.550000000000182,-1166.7261889578035,1.0,112.93189534960042,9.5,9.800000000000182,0.14999999999999997,0.8000000000000002,17.476425329469443,410.3177020278424,0,1.7021732428731455,2.5584546837884745,3.110676398940434,8.097826757127036,7.241545316211708,6.689323601059748
