Well_ID,"X, m","Y, m","Depth, m","Porosity, fraction","Permeability, mD","Acoustic Impedance, kg/s-m^2",Rock facies,"Density, g/cm3","Compressible velocity, m/s","Youngs modulus, GPa","Shear velocity, m/s","Shear modulus, GPa",layer,lith_id
Well_no_1,7325,7175,3052.8,0.1333,199.87365021818775,6981171.852999999,Sandstone,2.280137142,3106.544655,24.72155503,1690.417133,7.304717426,0,3
Well_no_1,7325,7175,3053.3,0.13865,199.87365021818775,7234748.871,Sandstone,2.135060843,4003.6970869999996,23.36072766,1573.847967,5.202120176,1,3
Well_no_1,7325,7175,3053.8,0.14637999999999998,199.87365021818775,7157383.755,Sandstone,1.991044689,3462.5690299999997,28.23215158,1636.279139,5.580492799781111,2,3
Well_no_1,7325,7175,3054.3,0.15979845549637442,199.87365021818775,7099159.172954635,Sandstone,1.694241985,3836.9607020000003,29.22013209,1613.043048,5.074763113,3,3
Well_no_1,7325,7175,3054.8,0.14993,199.87365021818775,7158214.223777476,Sandstone,1.664371256,3919.5857770000002,29.71720949044966,1636.846284,5.2778341719999995,4,3
Well_no_1,7325,7175,3055.3,0.1525,199.87365021818775,6975785.194,Sandstone,2.1651188130000003,2850.9939449999997,22.57682138,1613.9443529999999,5.977878965006282,5,3
Well_no_1,7325,7175,3055.8,0.15500999999999998,199.87365021818775,7202545.188999999,Sandstone,1.499129282,4523.6027,34.8012388,1786.934783,4.224236198219097,6,3
Well_no_1,7325,7175,3056.3,0.15843,199.87365021818775,7071741.046,Sandstone,2.279220836,2880.5224510000003,22.60821672,1641.131286,7.470394438,7,3
Well_no_1,7325,7175,3056.8,0.16004000000000002,199.87365021818775,6970094.357999999,Sandstone,2.188752836,3015.599314,23.17184134,1830.3968730000001,5.303365904,8,3
Well_no_1,7325,7175,3057.3,0.07066,53.534609327512214,7836617.444,Sandy shale,3.2506337839999997,2192.474933,15.960887854077233,1649.5462730000002,8.764372445,9,1
Well_no_1,7325,7175,3057.8,0.07276,53.534609327512214,7445642.705,Sandy shale,3.184170204,2350.321613,18.83760607,1610.4674630000002,7.989805447999999,10,1
Well_no_1,7325,7175,3058.3,0.13699999999999998,64.40913138949995,7336188.98,Shaly sandstone,1.8117307980000001,3767.9667189999996,30.520179,1622.4684439999999,6.334974438,11,2
Well_no_1,7325,7175,3058.8,0.13024000000000002,64.40913138949995,7317351.86,Shaly sandstone,2.0832631579937884,3835.851165,27.8892508739385,1674.7601623225853,6.642383744,12,2
Well_no_1,7325,7175,3059.3,0.1396,199.87365021818775,7057105.768999999,Sandstone,2.117951715,2812.481667,22.76235645883944,1853.856534,6.694957737,13,3
